category,issue_type,issue_percent
Beauty_and_Personal_Care,Packaging issues,8.04
Books,Packaging issues,3.56
Clothing_Shoes_and_Jewelry,Packaging issues,4.18
Electronics,Packaging issues,7.07
Home_and_Kitchen,Packaging issues,8.09
Beauty_and_Personal_Care,Damaged / Defective,2.37
Books,Damaged / Defective,2.22
Clothing_Shoes_and_Jewelry,Damaged / Defective,0.68
Electronics,Damaged / Defective,3.13
Home_and_Kitchen,Damaged / Defective,2.32
Beauty_and_Personal_Care,Delivery / Shipping,0.81
Books,Delivery / Shipping,1.3
Clothing_Shoes_and_Jewelry,Delivery / Shipping,0.7
Electronics,Delivery / Shipping,2.01
Home_and_Kitchen,Delivery / Shipping,1.44
Beauty_and_Personal_Care,Customer service,0.43
Books,Customer service,4.68
Clothing_Shoes_and_Jewelry,Customer service,4.06
Electronics,Customer service,3.09
Home_and_Kitchen,Customer service,1.61
Beauty_and_Personal_Care,Durability issues,0.82
Books,Durability issues,0.26
Clothing_Shoes_and_Jewelry,Durability issues,1.8
Electronics,Durability issues,2.49
Home_and_Kitchen,Durability issues,2.27
